==7677== NVPROF is profiling process 7677, command: python3 gpu-opt_flow.py
==7677== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==7677== Execution timeout, stopping the application...
==7677== Profiling application: python3 gpu-opt_flow.py
==7677== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
5.81356s  766.62us           (15 135 1)        (32 8 1)        22        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<unsigned char>, cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float, float>, cv::cudev::WithOutMask>, unsigned char, float, int, int) [449]
5.81441s     990ns                    -               -         -         -         -       24B  23.119MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.81449s     364ns                    -               -         -         -         -       24B  62.880MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.81454s     365ns                    -               -         -         -         -       24B  62.707MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.81461s     365ns                    -               -         -         -         -        4B  10.451MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.81466s     365ns                    -               -         -         -         -        4B  10.451MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.81472s     365ns                    -               -         -         -         -        4B  10.451MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.81478s     364ns                    -               -         -         -         -        4B  10.480MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.81484s     417ns                    -               -         -         -         -       24B  54.888MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.81580s     834ns                    -               -         -         -         -  126.56KB  144.72GB/s      Device           -  NVIDIA Tegra X1         1        19  [CUDA memset]
5.81589s     417ns                    -               -         -         -         -  126.56KB  289.45GB/s      Device           -  NVIDIA Tegra X1         1        20  [CUDA memset]
5.82891s  1.3020us                    -               -         -         -         -       40B  29.299MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.82899s  44.006ms           (8 1080 1)       (256 1 1)        32        0B  1.0703KB         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [473]
5.87296s  37.245ms           (8 1080 1)       (256 1 1)        32        0B  1.0703KB         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [479]
5.91015s  127.34us             (8 17 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [475]
5.91028s  118.91us             (8 17 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [481]
5.91040s  195.42us            (1 135 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [477]
5.91058s  192.71us            (1 135 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [483]
5.91109s  244.90us             (8 17 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [486]
5.91134s  874.54us            (1 135 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [489]
5.91222s  69.064us             (8 17 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [495]
5.91229s  246.51us             (8 17 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [497]
5.91254s  871.26us            (1 135 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [500]
5.91342s  67.084us             (8 17 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [506]
5.91349s  240.42us             (8 17 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [508]
5.91373s  867.98us            (1 135 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [511]
5.91460s  67.032us             (8 17 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [517]
5.91702s  168.80us            (15 34 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [522]
5.91720s  163.86us            (15 34 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [524]
5.91736s  56.198us             (4 34 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003771_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003771_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [526]
5.91742s  54.271us             (4 34 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003771_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003771_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [528]
5.92763s     989ns                    -               -         -         -         -       20B  19.286MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.92777s  14.291ms           (8 1080 1)       (256 1 1)        32        0B  1.0313KB         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [543]
5.94205s  14.299ms           (8 1080 1)       (256 1 1)        32        0B  1.0313KB         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [549]
5.95632s  257.97us            (15 34 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [545]
5.95658s  252.55us            (15 34 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [551]
5.95683s  753.34us            (2 270 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [547]
5.95758s  752.56us            (2 270 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [553]
5.95858s  900.89us            (15 34 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [556]
5.95948s  3.4525ms            (2 270 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [559]
5.96294s  248.54us            (15 34 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [565]
5.96319s  925.11us            (15 34 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [567]
5.96412s  3.4458ms            (2 270 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [570]
5.96757s  247.19us            (15 34 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [576]
5.96782s  912.66us            (15 34 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [578]
5.96874s  3.4449ms            (2 270 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [581]
5.97219s  246.88us            (15 34 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [587]
5.97744s  655.01us            (30 68 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [594]
5.97809s  648.70us            (30 68 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [596]
5.97874s  211.20us             (8 68 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003771_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003771_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [598]
5.97895s  208.23us             (8 68 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003771_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003771_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [600]
6.00919s  1.3550us                    -               -         -         -         -        8B  5.6305MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.00936s  11.317ms           (8 1080 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [615]
6.02066s  11.315ms           (8 1080 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [621]
6.03197s  932.25us            (30 68 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [617]
6.03289s  927.77us            (30 68 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [623]
6.03382s  4.2757ms            (4 540 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [619]
6.03809s  4.2756ms            (4 540 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [625]
6.04255s  4.6621ms            (30 68 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [628]
6.04722s  20.108ms            (4 540 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [631]
6.06733s  1.4063ms            (30 68 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [637]
6.06874s  4.6776ms            (30 68 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [639]
6.07343s  20.100ms            (4 540 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [642]
6.09353s  1.4042ms            (30 68 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [648]
6.09494s  4.6425ms            (30 68 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [650]
6.09958s  20.076ms            (4 540 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [653]
6.11966s  1.4038ms            (30 68 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [659]
6.12249s  3.6939ms           (60 135 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [664]
6.12618s  3.6900ms           (60 135 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [666]
6.12987s  867.14us           (15 135 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003771_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003771_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [668]
6.13073s  868.08us           (15 135 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003771_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003771_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [670]
6.23639s  1.3020us                    -               -         -         -         -        8B  5.8597MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.23656s  9.9083ms           (8 1080 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [685]
6.24646s  9.9008ms           (8 1080 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [690]
6.25636s  1.4404ms                    -               -         -         -         -  7.9102MB  5.3630GB/s      Device      Device  NVIDIA Tegra X1         1        19  [CUDA memcpy DtoD]
6.25780s  1.4454ms                    -               -         -         -         -  7.9102MB  5.3445GB/s      Device      Device  NVIDIA Tegra X1         1        20  [CUDA memcpy DtoD]
6.25924s  19.827ms           (8 1080 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [688]
6.27905s  19.966ms           (8 1080 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [693]
6.29957s  21.400ms           (60 135 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [696]
6.32097s  90.928ms           (8 1080 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [699]
6.41191s  3.9223ms           (60 135 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [705]
6.41583s  14.574ms           (60 135 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [707]
6.43041s  63.634ms           (8 1080 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [710]
6.49405s  3.2786ms           (60 135 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [716]
6.49733s  13.481ms           (60 135 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [718]
6.51081s  58.409ms           (8 1080 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [721]
6.56923s  3.2739ms           (60 135 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [727]
6.59465s  1.8607ms           (60 135 1)        (32 8 1)        19        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  void cv::cudev::grid_split_merge_detail::mergeC2<cv::cudev::GlobPtr<int>, cv::cudev::GlobPtr<int>, int2, cv::cudev::WithOutMask>(int, cv::cudev::GlobPtr<int>, cv::cudev::GlobPtr<cv::cudev::GlobPtr<int>>, int2, int, int) [738]
6.59720s  12.311ms                    -               -         -         -         -  15.820MB  1.2549GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
6.92220s  679.85us                    -               -         -         -         -  1.9775MB  2.8406GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.92491s  670.21us                    -               -         -         -         -  1.9775MB  2.8815GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.94111s  698.71us           (15 135 1)        (32 8 1)        22        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        24  void cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<unsigned char>, cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float, float>, cv::cudev::WithOutMask>, unsigned char, float, int, int) [770]
6.94623s  701.52us           (15 135 1)        (32 8 1)        22        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        25  void cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<unsigned char>, cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float, float>, cv::cudev::WithOutMask>, unsigned char, float, int, int) [773]
6.94708s     990ns                    -               -         -         -         -       24B  23.119MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.94713s     313ns                    -               -         -         -         -       24B  73.125MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.94716s     365ns                    -               -         -         -         -       24B  62.707MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.94720s     365ns                    -               -         -         -         -        4B  10.451MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.94723s     364ns                    -               -         -         -         -        4B  10.480MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.94726s     312ns                    -               -         -         -         -        4B  12.227MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.94729s     312ns                    -               -         -         -         -        4B  12.227MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.94733s     365ns                    -               -         -         -         -       24B  62.707MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
